name,value,year,lastValue,rank
groovy,2367,2013.910000,2319,1
hydro,1724,2013.910000,1593,2
indigo,NA,2013.910000,NA,4
jade,NA,2013.910000,NA,5
kinetic,NA,2013.910000,NA,6
lunar,NA,2013.910000,NA,7
melodic,NA,2013.910000,NA,8
ardent,NA,2013.910000,NA,10
bouncy,NA,2013.910000,NA,11
crystal,NA,2013.910000,NA,12
dashing,NA,2013.910000,NA,13
eloquent,NA,2013.910000,NA,14
fuerte,460,2014.000000,460,3
groovy,2400,2014.000000,2367,1
hydro,1834,2014.000000,1724,2
indigo,NA,2014.000000,NA,4
jade,NA,2014.000000,NA,5
kinetic,NA,2014.000000,NA,6
lunar,NA,2014.000000,NA,7
melodic,NA,2014.000000,NA,8
ardent,NA,2014.000000,NA,10
bouncy,NA,2014.000000,NA,11
crystal,NA,2014.000000,NA,12
dashing,NA,2014.000000,NA,13
eloquent,NA,2014.000000,NA,14
fuerte,460,2014.080000,460,3
groovy,2445,2014.080000,2400,1
hydro,2012,2014.080000,1834,2
indigo,20,2014.080000,NA,4
jade,NA,2014.080000,NA,5
kinetic,NA,2014.080000,NA,6
lunar,NA,2014.080000,NA,7
melodic,NA,2014.080000,NA,8
ardent,NA,2014.080000,NA,10
bouncy,NA,2014.080000,NA,11
crystal,NA,2014.080000,NA,12
dashing,NA,2014.080000,NA,13
eloquent,NA,2014.080000,NA,14
fuerte,460,2014.160000,460,3
groovy,2492,2014.160000,2445,1
hydro,2209,2014.160000,2012,2
indigo,178,2014.160000,20,4
jade,NA,2014.160000,NA,5
kinetic,NA,2014.160000,NA,6
lunar,NA,2014.160000,NA,7
melodic,NA,2014.160000,NA,8
ardent,NA,2014.160000,NA,10
bouncy,NA,2014.160000,NA,11
crystal,NA,2014.160000,NA,12
dashing,NA,2014.160000,NA,13
eloquent,NA,2014.160000,NA,14
fuerte,460,2014.250000,460,3
groovy,2568,2014.250000,2492,1
hydro,2470,2014.250000,2209,2
indigo,277,2014.250000,178,4
jade,NA,2014.250000,NA,5
kinetic,NA,2014.250000,NA,6
lunar,NA,2014.250000,NA,7
melodic,NA,2014.250000,NA,8
ardent,NA,2014.250000,NA,10
bouncy,NA,2014.250000,NA,11
crystal,NA,2014.250000,NA,12
dashing,NA,2014.250000,NA,13
eloquent,NA,2014.250000,NA,14
fuerte,460,2014.330000,460,3
groovy,2691,2014.330000,2568,2
hydro,2703,2014.330000,2470,1
indigo,416,2014.330000,277,4
jade,NA,2014.330000,NA,5
kinetic,NA,2014.330000,NA,6
lunar,NA,2014.330000,NA,7
melodic,NA,2014.330000,NA,8
ardent,NA,2014.330000,NA,10
bouncy,NA,2014.330000,NA,11
crystal,NA,2014.330000,NA,12
dashing,NA,2014.330000,NA,13
eloquent,NA,2014.330000,NA,14
fuerte,460,2014.410000,460,4
groovy,2787,2014.410000,2691,2
hydro,2942,2014.410000,2703,1
